strategy_id,data_quality_status,data_quality_reason
BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,WARN,EXTREME_RETURN_CLAMP_ONLY
BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,WARN,EXTREME_RETURN_CLAMP_ONLY
BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,PASS,
KAMA_TSMOM_30_ETH_GT_MA50_GATE,WARN,EXTREME_RETURN_CLAMP_ONLY
KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,PASS,
SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,WARN,EXTREME_RETURN_CLAMP_ONLY
SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,WARN,EXTREME_RETURN_CLAMP_ONLY
SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,WARN,EXTREME_RETURN_CLAMP_ONLY
SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,WARN,EXTREME_RETURN_CLAMP_ONLY
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,WARN,EXTREME_RETURN_CLAMP_ONLY
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,PASS,
VIDYA_TSMOM_30_ETH_GT_MA50_GATE,WARN,EXTREME_RETURN_CLAMP_ONLY
VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,WARN,EXTREME_RETURN_CLAMP_ONLY
VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,PASS,
VMA_TSMOM_30_ETH_GT_MA50_GATE,WARN,EXTREME_RETURN_CLAMP_ONLY
VMA_TSMOM_30_ETH_GT_MA50_SIZING,WARN,EXTREME_RETURN_CLAMP_ONLY
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,WARN,EXTREME_RETURN_CLAMP_ONLY
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,PASS,
